State,Code,Name,Type,Visitors
CA,JOTR,Joshua Tree National Park,National Park,2505286.0
DC,ROCR,Rock Creek Park,Park,2478735.0
CA,PORE,Point Reyes National Seashore,National Seashore,2438442.0
SD,MORU,Mount Rushmore National Memorial,National Memorial,2431231.0
PA,VAFO,Valley Forge National Historical Park,National Historical Park,2428724.0
OH,CUVA,Cuyahoga Valley National Park,National Park,2423390.0
NC,CAHA,Cape Hatteras National Seashore,National Seashore,2411711.0
UT,BRCA,Bryce Canyon National Park,National Park,2365110.0
GA,KEMO,Kennesaw Mountain National Battlefield Park,National Battlefield Park,2360256.0
MD,ASIS,Assateague Island National Seashore,National Seashore,2267821.0
CA,FOPO,Fort Point National Historic Site,National Historic Site,2264154.0
HI,HAVO,Hawai'i Volcanoes National Park,National Park,1887580.0
HI,VALR,World War II Valor in the Pacific National Monument,National Monument,1819020.0
AR,BUFF,Buffalo National River,National River,1785359.0
IN,INDU,Indiana Dunes National Lakeshore,National Lakeshore,1698223.0
MI,SLBE,Sleeping Bear Dunes National Lakeshore,National Lakeshore,1683553.0
OK,CHIC,Chickasaw National Recreation Area,National Recreation Area,1676421.0
FL,CANA,Canaveral National Seashore,National Seashore,1629944.0
UT,ARCH,Arches National Park,National Park,1585718.0
AR,HOSP,Hot Springs National Park,National Park,1544300.0
PR,SAJU,San Juan National Historic Site,National Historic Site,1456553.0
VA,SHEN,Shenandoah National Park,National Park,1437341.0
WY,JODR,"John D. Rockefeller, Jr., Memorial Parkway",National Parkway,1411819.0
TX,SAAN,San Antonio Missions National Historical Park,National Historical Park,1358911.0
WA,MORA,Mount Rainier National Park,National Park,1356913.0
CA,DEVA,Death Valley National Park,National Park,1296283.0
MO,JEFF,Jefferson National Expansion Memorial,National Memorial,1271855.0
HI,HALE,Haleakala National Park,National Park,1263558.0
CA,SEQU,Sequoia National Park,National Park,1254688.0
WA,LARO,Lake Roosevelt National Recreation Area,National Recreation Area,1253571.0
MO,OZAR,Ozark National Scenic Riverways,National Scenic Riverway,1241480.0
VA,NERI,New River Gorge National River,National River,1197931.0
TX,AMIS,Amistad National Recreation Area,National Recreation Area,1164530.0
FL,TIMU,Timucuan Ecological and Historic Preserve,Ecological and Historic Preserve,1148494.0
CA,MUWO,Muir Woods National Monument,National Monument,1123121.0
FL,BICY,Big Cypress National Preserve,National Preserve,1102148.0
WA,FOVA,Fort Vancouver National Historic Site,National Historic Site,1092031.0
PA,GETT,Gettysburg National Military Park,National Military Park,1091320.0
UT,CARE,Capitol Reef National Park,National Park,1064904.0
VA,ARHO,"Arlington House, The Robert E. Lee Memorial",National Memorial,1057500.0
MA,MIMA,Minute Man National Historical Park,National Historical Park,1049414.0
GA,CHCH,Chickamauga and Chattanooga National Military Park,National Military Park,1027738.0
TX,LAMR,Lake Meredith National Recreation Area,National Recreation Area,1025613.0
SD,BADL,Badlands National Park,National Park,996263.0
CO,CURE,Curecanti National Recreation Area,National Recreation Area,982498.0
VA,FRSP,Fredericksburg and Spotsylvania County Battlefields Memorial National Military Park,National Military Park,969895.0
CA,CABR,Cabrillo National Monument,National Monument,959145.0
FL,EVER,Everglades National Park,National Park,930907.0
AK,KLGO,Klondike Gold Rush National Historical Park,National Historical Park,912351.0
CA,SAMO,Santa Monica Mountains National Recreation Area,National Recreation Area,906606.0
WA,ROLA,Ross Lake National Recreation Area,National Recreation Area,905418.0
UT,CEBR,Cedar Breaks National Monument,National Monument,899676.0
SC,FOSU,Fort Sumter National Monument,National Monument,888330.0
CA,WHIS,Whiskeytown-Shasta-Trinity National Recreation Area,National Recreation Area,875565.0
FL,CASA,Castillo de San Marcos National Monument,National Monument,854664.0
AZ,CACH,Canyon de Chelly National Monument,National Monument,821406.0
AZ,SAGU,Saguaro National Park,National Park,820426.0
KY,CUGA,Cumberland Gap National Historical Park,National Historical Park,820387.0
MI,PIRO,Pictured Rocks National Lakeshore,National Lakeshore,777428.0
UT,CANY,Canyonlands National Park,National Park,776218.0
OR,CRLA,Crater Lake National Park,National Park,756344.0
ND,THRO,Theodore Roosevelt National Park,National Park,753880.0
WI,SACN,Saint Croix National Scenic Riverway,National Scenic Riverway,708258.0
TN,BISO,Big South Fork National River and Recreation Area,National River and Recreation Area,684715.0
DC,FOTH,Ford's Theatre National Historic Site,National Historic Site,650779.0
AZ,PEFO,Petrified Forest National Park,National Park,643274.0
TX,PAIS,Padre Island National Seashore,National Seashore,634012.0
SD,WICA,Wind Cave National Park,National Park,617377.0
DC,WHHO,White House,Other Designation,611207.0
MD,FOMC,Fort McHenry National Monument and Historic Shrine,National Monument,610987.0
CA,KICA,Kings Canyon National Park,National Park,607479.0
AK,DENA,Denali National Park,National Park,587412.0
AK,DENA,Denali National Preserve,National Park,587412.0
KY,MACA,Mammoth Cave National Park,National Park,586514.0
CA,MOJA,Mojave National Preserve,National Preserve,585635.0
CO,MEVE,Mesa Verde National Park,National Park,583527.0
MD,FOWA,Fort Washington Park,Other Designation,560358.0
FL,FOMA,Fort Matanzas National Monument,National Monument,557810.0
NM,WHSA,White Sands National Monument,National Monument,555793.0
MA,LOWE,Lowell National Historical Park,National Historical Park,541825.0
CA,REDW,Redwood National Park,National Park,536297.0
CA,LAVO,Lassen Volcanic National Park,National Park,536068.0
VA,MANA,Manassas National Battlefield Park,National Battlefield Park,534835.0
NY,GOIS,Governors Island National Monument,National Monument,522859.0
AK,GLBA,Glacier Bay National Park,National Park,520171.0
AK,GLBA,Glacier Bay National Preserve,National Preserve,520171.0
FL,BISC,Biscayne National Park,National Park,514709.0
LA,VICK,Vicksburg National Military Park,National Military Park,508914.0
WY,DETO,Devils Tower National Monument,National Monument,496210.0
GU,WAPA,War in the Pacific National Historical Park,War in the Pacific,488988.0
GA,MALU,"Martin Luther King, Jr., National Historic Site",National Historic Site,467715.0
NM,CAVE,Carlsbad Caverns National Park,National Park,466773.0
AL,LIRI,Little River Canyon National Preserve,National Preserve,462700.0
NC,WRBR,Wright Brothers National Memorial,National Memorial,458776.0
NC,CALO,Cape Lookout National Seashore,National Seashore,458000.0
LA,JELA,Jean Lafitte National Historical Park and Preserve,National Historical Park and Preserve,438420.0
VA,WOTR,Wolf Trap National Park for the Performing Arts,National Park,437513.0
NY,FIIS,Fire Island National Seashore,National Seashore,431303.0
MS,SHIL,Shiloh National Battlefield,National Battlefield,421862.0
HI,PUHO,Pu'uhonua o Honaunau National Historical Park,National Historical Park,421027.0
MA,BOAF,Boston African American National Historic Site,National Historic Site,414170.0
VI,VIIS,Virgin Islands National Park,National Park,411343.0
AZ,MOCA,Montezuma Castle National Monument,National Monument,392168.0
CO,COLM,Colorado National Monument,National Monument,391075.0
CO,GRSA,Great Sand Dunes National Park,National Park,388308.0
CO,GRSA,Great Sand Dunes National Preserve,National Preserve,388308.0
TX,BIBE,Big Bend National Park,National Park,388290.0
NY,VAMA,Vanderbilt Mansion National Historic Site,National Historic Site,387856.0
PA,FLNI,Flight 93 National Memorial,National Memorial,385123.0
MA,SAMA,Salem Maritime National Historic Site,National Historic Site,371989.0
CA,CHIS,Channel Islands National Park,National Park,364807.0
MD,ANTI,Antietam National Battlefield,National Battlefield,351911.0
AK,KEFJ,Kenai Fjords National Park,National Park,346534.0
TN,STRI,Stones River National Battlefield,National Battlefield,346213.0
GA,FOPU,Fort Pulaski National Monument,National Monument,344921.0
VA,PRWI,Prince William Forest Park,Park,344435.0
WV,HAFE,Harpers Ferry National Historical Park,National Historical Park,335691.0
MT,LIBI,Little Bighorn Battlefield National Monument,National Monument,332328.0
NC,GUCO,Guilford Courthouse National Military Park,National Military Park,321796.0
WA,SAJH,San Juan Island National Historical Park,National Historical Park,316122.0
NY,FEHA,Federal Hall National Memorial,National Memorial,314531.0
CO,DINO,Dinosaur National Monument,National Monument,304312.0
VA,APCO,Appomattox Court House National Historical Park,National Historical Park,303139.0
NC,FORA,Fort Raleigh National Historic Site,National Historic Site,292367.0
PA,FONE,Fort Necessity National Battlefield,National Battlefield,290021.0
WA,LEWI,Lewis and Clark National Historical Park,National Historical Park,281576.0
PA,UPDE,Upper Delaware Scenic and Recreational River,Scenic and Recreational River,264362.0
SC,KIMO,Kings Mountain National Military Park,National Military Park,263357.0
DC,LYBA,Lyndon Baines Johnson Memorial Grove on the Potomac,National Memorial,260234.0
WY,BICA,Bighorn Canyon National Recreation Area,National Recreation Area,259485.0
TN,FODO,Fort Donelson National Battlefield,National Battlefield,259343.0
MN,MISS,Mississippi National River and Recreation Area,National River and Recreation Area,256944.0
ID,CRMO,Craters of the Moon National Monument,National Monument,255436.0
DC,WAMO,Washington Monument,National Memorial,252677.0
NJ,MORR,Morristown National Historical Park,National Historical Park,252514.0
KY,ABLI,Abraham Lincoln Birthplace National Historical Park,National Historical Park,252495.0
MN,VOYA,Voyageurs National Park,National Park,241912.0
WA,NEPE,Nez Perce National Historical Park,National Historical Park,239908.0
IL,LIHO,Lincoln Home National Historic Site,National Historic Site,239719.0
CO,BLCA,Black Canyon of the Gunnison National Park,National Park,238018.0
AZ,ORPI,Organ Pipe Cactus National Monument,National Monument,234186.0
FL,DESO,De Soto National Memorial,National Memorial,232463.0
FL,FOCA,Fort Caroline National Memorial,National Memorial,232082.0
TN,OBRI,Obed Wild and Scenic River,Wild and Scenic River,231390.0
AZ,WUPA,Wupatki National Monument,National Monument,223172.0
MD,CATO,Catoctin Mountain Park,Other Designation,221750.0
AK,SITK,Sitka National Historical Park,National Historical Park,217141.0
CA,PINN,Pinnacles National Park,National Park,215555.0
SC,COWP,Cowpens National Battlefield,National Battlefield,213299.0
OR,JODA,John Day Fossil Beds National Monument,National Monument,210110.0
VA,RICH,Richmond National Battlefield Park,National Battlefield Park,208969.0
MS,NATC,Natchez National Historical Park,National Historical Park,204120.0
MI,RIRA,River Raisin National Battlefield Park,National Battlefield Park,202375.0
MA,ADAM,Adams National Historical Park,National Historical Park,199301.0
NM,BAND,Bandelier National Monument,National Monument,198478.0
NY,HOFR,Home of Franklin D. Roosevelt National Historic Site,National Historic Site,193272.0
GA,FOFR,Fort Frederica National Monument,National Monument,192906.0
TX,BITH,Big Thicket National Preserve,National Preserve,192809.0
VA,PETE,Petersburg National Battlefield,National Battlefield,191898.0
PA,ALPO,Allegheny Portage Railroad National Historic Site,National Historic Site,189371.0
HI,KAHO,Kaloko-Honokohau National Historical Park,National Historical Park,185041.0
WI,APIS,Apostle Islands National Lakeshore,National Lakeshore,183796.0
MO,WICR,Wilson's Creek National Battlefield,National Battlefield,183698.0
TX,GUMO,Guadalupe Mountains National Park,National Park,181839.0
NJ,PAGR,Paterson Great Falls National Historical Park,National Historical Park,177498.0
DC,THIS,Theodore Roosevelt Island,National Memorial,164360.0
AR,FOSM,Fort Smith National Historic Site,National Historic Site,163636.0
GA,OCMU,Ocmulgee National Monument,National Monument,162260.0
NM,ELMA,El Malpais National Monument,National Monument,157440.0
PA,JOFL,Johnstown Flood National Memorial,National Memorial,154931.0
AZ,WACA,Walnut Canyon National Monument,National Monument,152444.0
IA,HEHO,Herbert Hoover National Historic Site,National Historic Site,152382.0
SD,MNRR,Missouri National Recreation River,National Recreation River,148210.0
TX,CHAM,Chamizal National Memorial,National Memorial,147937.0
MA,NEBE,New Bedford Whaling National Historical Park,National Historical Park,145500.0
NV,GRBA,Great Basin National Park,National Park,144846.0
SC,CONG,Congaree National Park,National Park,143843.0
OH,PEVI,Perry's Victory and International Peace Memorial,National Memorial,142152.0
TX,LYJO,Lyndon B. Johnson National Historical Park,National Historical Park,140303.0
HI,PUHE,Pu'ukohola Heiau National Historic Site,National Historic Site,138565.0
MD,GREE,Greenbelt Park,Other Designation,137900.0
SD,JECA,Jewel Cave National Monument,National Monument,137275.0
AZ,CORO,Coronado National Memorial,National Memorial,136075.0
CA,DEPO,Devils Postpile National Monument,National Monument,135404.0
GA,ANDE,Andersonville National Historic Site,National Historic Site,134216.0
SD,MIMI,Minuteman Missile National Historic Site,National Historic Site,133895.0
NE,SCBL,Scotts Bluff National Monument,National Monument,130085.0
VA,GEWA,George Washington Birthplace National Monument,National Monument,129750.0
AR,CHSC,Little Rock Central High School National Historic Site,National Historic Site,129540.0
CA,LABE,Lava Beds National Monument,National Monument,127699.0
IN,GERO,George Rogers Clark National Historical Park,National Historical Park,126095.0
IN,LIBO,Lincoln Boyhood National Memorial,National Memorial,125562.0
NM,PETR,Petroglyph National Monument,National Monument,124177.0
MD,PISC,Piscataway Park,Other Designation,123381.0
AR,PERI,Pea Ridge National Military Park,National Military Park,119490.0
SC,NISI,Ninety Six National Historic Site,National Historic Site,118002.0
WV,GARI,Gauley River National Recreation Area,National Recreation Area,115888.0
VI,CHRI,Christiansted National Historic Site,National Historic Site,115446.0
NY,GEGR,General Grant National Memorial,National Memorial,109151.0
ID,CIRO,City of Rocks National Reserve,National Reserve,107865.0
CA,MANZ,Manzanar National Historic Site,National Historic Site,105307.0
NM,MAPR,Manhattan Project National Historical Park,National Historical Park,104715.0
